"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Sweden","SWE","'40-49",40,49,2021-12-31,661302,637925,1299227
"Europe","Sweden","SWE","'50-59",50,59,2021-12-31,671579,654555,1326134
"Europe","Sweden","SWE","'60-69",60,69,2021-12-31,553313,556716,1110029
"Europe","Sweden","SWE","'70-74",70,74,2021-12-31,260832,275284,536116
"Europe","Sweden","SWE","'75-79",75,79,2021-12-31,231607,251189,482796
"Europe","Sweden","SWE","'80-84",80,84,2021-12-31,131553,159458,291011
"Europe","Sweden","SWE","'85-89",85,89,2021-12-31,66971,100350,167321
"Europe","Sweden","SWE","'90+",90,NA,2021-12-31,31224,70078,101302
"Europe","Sweden","SWE","'Total",NA,NA,2021-12-31,5260707,5191619,10452326
"Europe","Switzerland","CHE","'0-9",0,9,2019-12-31,450100,426677,876777
"Europe","Switzerland","CHE","'10-19",10,19,2019-12-31,436616,411459,848075
"Europe","Switzerland","CHE","'20-29",20,29,2019-12-31,537127,512732,1049859
"Europe","Switzerland","CHE","'30-39",30,39,2019-12-31,623347,610796,1234143
"Europe","Switzerland","CHE","'40-49",40,49,2019-12-31,605292,598532,1203824
"Europe","Switzerland","CHE","'50-59",50,59,2019-12-31,654700,644531,1299231
"Europe","Switzerland","CHE","'60-69",60,69,2019-12-31,468511,484259,952770
"Europe","Switzerland","CHE","'70-79",70,79,2019-12-31,338018,386885,724903
"Europe","Switzerland","CHE","'80+",80,NA,2019-12-31,174367,280831,455198
"Europe","Switzerland","CHE","'Total",NA,NA,2019-12-31,4288078,4356702,8644780
"Europe","Switzerland","CHE","'0-9",0,9,2020-12-31,452658,427929,880587
"Europe","Switzerland","CHE","'10-19",10,19,2020-12-31,438812,414563,853375
"Europe","Switzerland","CHE","'20-29",20,29,2020-12-31,534180,508437,1042617
"Europe","Switzerland","CHE","'30-39",30,39,2020-12-31,630777,617463,1248240
"Europe","Switzerland","CHE","'40-49",40,49,2020-12-31,607008,599897,1206905
"Europe","Switzerland","CHE","'50-59",50,59,2020-12-31,657562,647981,1305543
"Europe","Switzerland","CHE","'60-69",60,69,2020-12-31,478411,493866,972277
"Europe","Switzerland","CHE","'70-79",70,79,2020-12-31,345623,394290,739913
"Europe","Switzerland","CHE","'80+",80,NA,2020-12-31,176936,282962,459898
"Europe","Switzerland","CHE","'Total",NA,NA,2020-12-31,4321967,4387388,8709355
"Europe","Switzerland","CHE","'0-9",0,9,2021-12-31,456072,431606,887678
"Europe","Switzerland","CHE","'10-19",10,19,2021-12-31,443674,419242,862916
"Europe","Switzerland","CHE","'20-29",20,29,2021-12-31,529516,502626,1032142
"Europe","Switzerland","CHE","'30-39",30,39,2021-12-31,637338,622714,1260052
"Europe","Switzerland","CHE","'40-49",40,49,2021-12-31,609360,601529,1210889
"Europe","Switzerland","CHE","'50-59",50,59,2021-12-31,657542,648873,1306415
"Europe","Switzerland","CHE","'60-69",60,69,2021-12-31,490291,506001,996292
"Europe","Switzerland","CHE","'70-79",70,79,2021-12-31,349657,398361,748018
"Europe","Switzerland","CHE","'80+",80,NA,2021-12-31,184249,289448,473697
"Europe","Switzerland","CHE","'Total",NA,NA,2021-12-31,4357699,4420400,8778099
"Americas","United States of America","USA","'0",0,0,2019-07-01,1921001,1841226,3762227
"Americas","United States of America","USA","'1-4",1,4,2019-07-01,8080265,7728847,15809112
"Americas","United States of America","USA","'5-14",5,14,2019-07-01,20964468,20077338,41041806
"Americas","United States of America","USA","'15-24",15,24,2019-07-01,21819698,20890699,42710397
"Americas","United States of America","USA","'25-34",25,34,2019-07-01,23391238,22612446,46003684
"Americas","United States of America","USA","'35-44",35,44,2019-07-01,20798763,20875681,41674444
"Americas","United States of America","USA","'45-54",45,54,2019-07-01,20164931,20695392,40860323
"Americas","United States of America","USA","'55-64",55,64,2019-07-01,20490355,21940870,42431225
"Americas","United States of America","USA","'65-74",65,74,2019-07-01,14690960,16780384,31471344
"Americas","United States of America","USA","'75-84",75,84,2019-07-01,6996450,8969474,15965924
"Americas","United States of America","USA","'85+",85,NA,2019-07-01,2374207,4225260,6599467
"Americas","United States of America","USA","'Total",NA,NA,2019-07-01,161692336,166637617,328329953
"Americas","United States of America","USA","'0",0,0,2020-07-01,1891716,1807480,3699196
"Americas","United States of America","USA","'1-4",1,4,2020-07-01,7965437,7616579,15582016
"Americas","United States of America","USA","'5-14",5,14,2020-07-01,21510610,20509248,42019858
"Americas","United States of America","USA","'15-24",15,24,2020-07-01,21948665,21050294,42998959
"Americas","United States of America","USA","'25-34",25,34,2020-07-01,23153624,22529226,45682850
"Americas","United States of America","USA","'35-44",35,44,2020-07-01,21593934,21309476,42903410
"Americas","United States of America","USA","'45-54",45,54,2020-07-01,20526370,20573921,41100291
"Americas","United States of America","USA","'55-64",55,64,2020-07-01,21088765,21987439,43076204
"Americas","United States of America","USA","'65-74",65,74,2020-07-01,15374884,17222111,32596995
"Americas","United States of America","USA","'75-84",75,84,2020-07-01,6993079,8828070,15821149
"Americas","United States of America","USA","'85+",85,NA,2020-07-01,2167793,3852359,6020152
"Americas","United States of America","USA","'Total",NA,NA,2020-07-01,164214877,167286203,331501080
"Americas","United States of America","USA","'0",0,0,2021-07-01,1821502,1742991,3564493
"Americas","United States of America","USA","'1-4",1,4,2021-07-01,7802850,7459995,15262845
"Americas","United States of America","USA","'5-14",5,14,2021-07-01,21364381,20374951,41739332
"Americas","United States of America","USA","'15-24",15,24,2021-07-01,21996214,21092449,43088663
"Americas","United States of America","USA","'25-34",25,34,2021-07-01,23053362,22441743,45495105
"Americas","United States of America","USA","'35-44",35,44,2021-07-01,21857613,21546241,43403854
"Americas","United States of America","USA","'45-54",45,54,2021-07-01,20311959,20376477,40688436
"Americas","United States of America","USA","'55-64",55,64,2021-07-01,20963318,21839746,42803064
"Americas","United States of America","USA","'65-74",65,74,2021-07-01,15869086,17797036,33666122
"Americas","United States of America","USA","'75-84",75,84,2021-07-01,7168514,9037561,16206075
"Americas","United States of America","USA","'85+",85,NA,2021-07-01,2175943,3799813,5975756
"Americas","United States of America","USA","'Total",NA,NA,2021-07-01,164384742,167509003,331893745
"Europe","Ukraine","UKR","'0-9",0,9,2020-01-01,2144902,2015536,4160438
"Europe","Ukraine","UKR","'10-19",10,19,2020-01-01,2108122,1987939,4096061
